"File","Words"
"C:\Users\Chris\Documents\GitHub\CoModules\modules\ai-registry\validators\requirements.txt","3"
"C:\Users\Chris\Documents\GitHub\CoModules\scratch\Checkpoint-20250908-034335.txt","8"
"C:\Users\Chris\Documents\GitHub\CoModules\shared\README.md","9"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\business-plan\01-Overview.md","10"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\business-plan\99-Appendix.md","10"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\_backlog\ADVANCED_INITIATIVES.md","11"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\business-plan\05-Marketing.md","12"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\business-plan\04-Sales.md","12"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\business-plan\03-Strategy.md","12"
"C:\Users\Chris\Documents\GitHub\CoModules\modules\CoFit\FUNDER_BRIEF.md","12"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\business-plan\02-Market-Compete.md","13"
"C:\Users\Chris\Documents\GitHub\CoModules\modules\CoFit\README.md","13"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\business-plan\00-README.md","23"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\status\README.md","24"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\_fragments\footer.md","25"
"C:\Users\Chris\Documents\GitHub\CoModules\NEXT.md","25"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\constitution\CoCivium-Constitution.md","26"
"C:\Users\Chris\Documents\GitHub\CoModules\modules\FixTheWorld\README.md","27"
"C:\Users\Chris\Documents\GitHub\CoModules\.github\pull_request_template.md","32"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\status\BPOE.md","41"
"C:\Users\Chris\Documents\GitHub\CoModules\modules\FixTheWorld\NEXT.md","42"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\shared\Core_Assumption.md","45"
"C:\Users\Chris\Documents\GitHub\CoModules\cbpp\README.md","48"
"C:\Users\Chris\Documents\GitHub\CoModules\shared\docs\LESSONS.md","50"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\index\modules-ftw.md","51"
"C:\Users\Chris\Documents\GitHub\CoModules\admin\status\CoModules-GRAND_MIGRATION.md","55"
"C:\Users\Chris\Documents\GitHub\CoModules\admin\bpoe\sync-main-after-edits.md","60"
"C:\Users\Chris\Documents\GitHub\CoModules\admin\bpoe\crosslinking-checklist.md","64"
"C:\Users\Chris\Documents\GitHub\CoModules\modules\CoFit\docs\TODO.md","69"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\INDEX.md","73"
"C:\Users\Chris\Documents\GitHub\CoModules\CoTicker\README.md","88"
"C:\Users\Chris\Documents\GitHub\CoModules\CoTicker\docs\PLAN.md","91"
"C:\Users\Chris\Documents\GitHub\CoModules\modules\open-procurement-starter\README.md","104"
"C:\Users\Chris\Documents\GitHub\CoModules\modules\ai-registry\README.md","118"
"C:\Users\Chris\Documents\GitHub\CoModules\README.md","118"
"C:\Users\Chris\Documents\GitHub\CoModules\modules\CoFit\docs\HANDOFF.md","118"
"C:\Users\Chris\Documents\GitHub\CoModules\admin\status\CoCivium-GRAND_MIGRATION.md","119"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\STYLE.md","121"
"C:\Users\Chris\Documents\GitHub\CoModules\shared\docs\WORKFLOWS.md","124"
"C:\Users\Chris\Documents\GitHub\CoModules\docs\cobots\README.md","125"
"C:\Users\Chris\Documents\GitHub\CoModules\GLOSSARY.md","129"
"C:\Users\Chris\Documents\GitHub\CoModules\modules\CoFit\TODO.md","139"
